Chemical	Monitor	Reading	Year	Month	Day	Hour	Minutes	Seconds
Methylosmolene	3	2.68382	2016	4	1	0	0	0
Methylosmolene	7	2.63064	2016	4	1	0	0	0
Chlorodinine	3	1.25917	2016	4	1	0	0	0
Chlorodinine	7	0.943983	2016	4	1	0	0	0
AGOC-3A	3	0.722303	2016	4	1	0	0	0
Appluimonia	2	0.518521	2016	4	1	0	0	0
Appluimonia	8	0.502186	2016	4	1	0	0	0
AGOC-3A	7	0.497282	2016	4	1	0	0	0
Appluimonia	6	0.458144	2016	4	1	0	0	0
Methylosmolene	8	0.456104	2016	4	1	0	0	0
AGOC-3A	8	0.438723	2016	4	1	0	0	0
Methylosmolene	1	0.417423	2016	4	1	0	0	0
Appluimonia	7	0.38494	2016	4	1	0	0	0
Chlorodinine	1	0.382308	2016	4	1	0	0	0
Appluimonia	4	0.378015	2016	4	1	0	0	0
Appluimonia	9	0.272886	2016	4	1	0	0	0
AGOC-3A	6	0.242289	2016	4	1	0	0	0
Chlorodinine	6	0.239455	2016	4	1	0	0	0
Chlorodinine	5	0.239101	2016	4	1	0	0	0
AGOC-3A	2	0.228558	2016	4	1	0	0	0
Chlorodinine	8	0.225446	2016	4	1	0	0	0
Chlorodinine	9	0.197804	2016	4	1	0	0	0
Methylosmolene	4	0.196198	2016	4	1	0	0	0
AGOC-3A	1	0.160462	2016	4	1	0	0	0
Methylosmolene	6	0.156771	2016	4	1	0	0	0
AGOC-3A	5	0.15486	2016	4	1	0	0	0
Methylosmolene	9	0.144993	2016	4	1	0	0	0
Appluimonia	3	0.130435	2016	4	1	0	0	0
Methylosmolene	2	0.110788	2016	4	1	0	0	0
AGOC-3A	9	0.105787	2016	4	1	0	0	0
AGOC-3A	4	0.0814906	2016	4	1	0	0	0
Appluimonia	5	0.0296967	2016	4	1	0	0	0
Methylosmolene	5	0.0226431	2016	4	1	0	0	0
Chlorodinine	2	0.0115732	2016	4	1	0	0	0
Chlorodinine	4	0.00473954	2016	4	1	0	0	0
Appluimonia	1	0.0030929	2016	4	1	0	0	0
Appluimonia	3	3.48407	2016	4	1	1	0	0
AGOC-3A	3	2.55736	2016	4	1	1	0	0
Methylosmolene	7	2.26404	2016	4	1	1	0	0
Chlorodinine	7	1.26748	2016	4	1	1	0	0
Methylosmolene	3	0.779529	2016	4	1	1	0	0
Chlorodinine	8	0.708372	2016	4	1	1	0	0
Appluimonia	7	0.63253	2016	4	1	1	0	0
Appluimonia	8	0.565845	2016	4	1	1	0	0
AGOC-3A	8	0.535	2016	4	1	1	0	0
Appluimonia	5	0.452317	2016	4	1	1	0	0
AGOC-3A	2	0.452257	2016	4	1	1	0	0
Methylosmolene	5	0.401722	2016	4	1	1	0	0
AGOC-3A	6	0.394667	2016	4	1	1	0	0
Methylosmolene	1	0.381961	2016	4	1	1	0	0
Chlorodinine	6	0.349223	2016	4	1	1	0	0
Chlorodinine	9	0.345217	2016	4	1	1	0	0
Chlorodinine	1	0.325122	2016	4	1	1	0	0
Chlorodinine	4	0.304023	2016	4	1	1	0	0
AGOC-3A	5	0.301439	2016	4	1	1	0	0
Methylosmolene	4	0.280295	2016	4	1	1	0	0
Methylosmolene	8	0.272105	2016	4	1	1	0	0
AGOC-3A	7	0.261157	2016	4	1	1	0	0
