Chemical	Day	Hour	Reading
Methylosmolene	7	0	21.41733
AGOC-3A	5	6	13.491780325
Methylosmolene	8	22	11.845062611
Methylosmolene	2	4	9.890430578
Methylosmolene	2	3	9.680408556
Methylosmolene	2	5	9.58837
AGOC-3A	16	19	8.73491466
AGOC-3A	9	7	8.4405901
Methylosmolene	11	2	8.1263204
AGOC-3A	18	9	7.85911516
Methylosmolene	5	4	7.801604844
AGOC-3A	23	11	7.662920803
Methylosmolene	24	22	6.608927178
AGOC-3A	18	8	6.3769342
Methylosmolene	6	2	6.113251778
AGOC-3A	5	21	5.976193994
Methylosmolene	12	4	5.836895111
AGOC-3A	13	15	5.40687757
AGOC-3A	14	8	5.28762829
AGOC-3A	13	16	5.1854936
AGOC-3A	14	19	4.8907593
AGOC-3A	8	11	4.5610273
Methylosmolene	2	23	4.450856244
Methylosmolene	22	22	4.3620561
AGOC-3A	8	16	4.3542565
AGOC-3A	17	9	4.28214973
Methylosmolene	13	3	4.250148798
Methylosmolene	20	1	4.162735411
Methylosmolene	7	1	4.125241556
AGOC-3A	24	13	4.1022949
AGOC-3A	5	4	4.051040111
AGOC-3A	18	7	3.92235718
Methylosmolene	18	5	3.820114111
AGOC-3A	15	13	3.6570227
AGOC-3A	14	18	3.4563356
AGOC-3A	22	8	3.43559564
AGOC-3A	19	21	3.39323662
AGOC-3A	1	17	3.35604122
Appluimonia	7	0	3.30994
AGOC-3A	7	0	3.262853333
Methylosmolene	12	3	3.258286589
AGOC-3A	14	13	3.1592499
Methylosmolene	8	0	3.154097667
AGOC-3A	11	9	3.14765102
Methylosmolene	6	1	3.145560778
Methylosmolene	7	4	3.042516
AGOC-3A	11	18	2.96615389
AGOC-3A	11	16	2.965547131
Methylosmolene	6	23	2.942184567
AGOC-3A	11	11	2.932773352
Methylosmolene	11	22	2.926791111
AGOC-3A	11	8	2.9111746
AGOC-3A	11	10	2.9024141
AGOC-3A	15	10	2.871828802
AGOC-3A	8	15	2.8367667
Methylosmolene	17	1	2.828579556
AGOC-3A	8	21	2.7965128
AGOC-3A	15	14	2.73199454
AGOC-3A	12	15	2.62997031
AGOC-3A	12	18	2.60469813
AGOC-3A	5	13	2.56311544
Methylosmolene	12	2	2.552752111
AGOC-3A	21	6	2.4750465
Methylosmolene	19	23	2.391187333
Methylosmolene	11	23	2.366519366
AGOC-3A	11	15	2.3514198
Chlorodinine	23	5	2.337489778
AGOC-3A	8	9	2.3273359
Methylosmolene	17	22	2.274274111
Chlorodinine	18	8	2.1918488
Chlorodinine	5	4	2.116306433
AGOC-3A	14	12	2.0609017
AGOC-3A	17	10	2.016702755
AGOC-3A	2	4	2.005672333
Methylosmolene	14	23	1.999148222
Chlorodinine	11	21	1.994203422
Methylosmolene	12	5	1.934763333
AGOC-3A	1	12	1.92098612
Methylosmolene	7	23	1.885788222
AGOC-3A	18	6	1.88514304
AGOC-3A	17	8	1.884091
Methylosmolene	15	3	1.870691556
AGOC-3A	18	18	1.864213307
Methylosmolene	21	5	1.846664367
Methylosmolene	2	22	1.837344889
AGOC-3A	17	11	1.824734
AGOC-3A	8	22	1.809129222
Chlorodinine	5	12	1.807810778
AGOC-3A	5	16	1.8064067
Chlorodinine	23	0	1.789078467
AGOC-3A	2	12	1.773667
Appluimonia	18	8	1.756257656
Chlorodinine	16	13	1.732013156
Chlorodinine	11	13	1.697231333
Chlorodinine	17	9	1.662048189
Chlorodinine	18	5	1.658107844
Appluimonia	24	13	1.648394111
AGOC-3A	22	20	1.63742345
Chlorodinine	6	4	1.621782744
Chlorodinine	5	21	1.621106628
Chlorodinine	23	4	1.600150378
Appluimonia	5	12	1.593880222
AGOC-3A	7	20	1.591746667
Appluimonia	18	9	1.580631444
Chlorodinine	13	10	1.579340444
AGOC-3A	17	15	1.567136822
Chlorodinine	29	21	1.558956963
Chlorodinine	9	11	1.555253822
Appluimonia	5	6	1.550001889
Chlorodinine	19	2	1.539087557
AGOC-3A	7	21	1.5341819
Appluimonia	29	9	1.531693267
AGOC-3A	24	1	1.511433667
AGOC-3A	5	18	1.504319111
AGOC-3A	17	16	1.495879778
AGOC-3A	2	5	1.491162778
Chlorodinine	5	6	1.490249778
Appluimonia	7	2	1.479519989
Methylosmolene	11	3	1.465947
Methylosmolene	16	22	1.464833
AGOC-3A	2	3	1.455541079
AGOC-3A	24	11	1.45405443
Chlorodinine	13	9	1.453441667
AGOC-3A	11	2	1.436020056
AGOC-3A	22	7	1.43382914
Chlorodinine	13	8	1.432831222
Methylosmolene	30	3	1.428364667
Chlorodinine	2	13	1.416008522
AGOC-3A	21	5	1.414851222
Appluimonia	7	1	1.411584489
Chlorodinine	21	10	1.411273111
AGOC-3A	18	10	1.40726667
Chlorodinine	6	22	1.404971
Chlorodinine	27	0	1.400069556
AGOC-3A	12	6	1.389515111
AGOC-3A	22	19	1.382078889
AGOC-3A	3	3	1.376622778
AGOC-3A	24	22	1.364393122
AGOC-3A	26	12	1.364091989
Chlorodinine	3	9	1.357903889
Appluimonia	12	5	1.353034822
Chlorodinine	19	23	1.339317778
Chlorodinine	26	9	1.335084
Chlorodinine	23	6	1.334642556
Chlorodinine	19	1	1.331812111
AGOC-3A	7	14	1.3266967
Chlorodinine	1	10	1.322784656
Methylosmolene	3	23	1.322394844
Chlorodinine	29	2	1.314558111
Methylosmolene	17	23	1.306275856
AGOC-3A	17	21	1.304154
Chlorodinine	12	23	1.303895911
Chlorodinine	11	0	1.303005656
Chlorodinine	5	20	1.296726
AGOC-3A	12	9	1.29624148
Appluimonia	29	3	1.289593789
Chlorodinine	10	0	1.287881556
Methylosmolene	28	19	1.275050444
Chlorodinine	21	8	1.265843389
Appluimonia	22	14	1.265841778
Chlorodinine	12	7	1.262362444
Chlorodinine	17	22	1.262163833
Methylosmolene	23	23	1.262052
Methylosmolene	9	15	1.256210457
Chlorodinine	21	13	1.254789111
Appluimonia	18	6	1.254049444
Methylosmolene	18	7	1.251879876
Methylosmolene	19	21	1.25185825
Chlorodinine	22	7	1.247010222
Chlorodinine	26	13	1.243851789
AGOC-3A	15	20	1.243245667
Appluimonia	12	9	1.242007533
Chlorodinine	8	2	1.238800467
AGOC-3A	15	8	1.238018476
AGOC-3A	12	21	1.237399889
Chlorodinine	18	1	1.231494467
Chlorodinine	10	3	1.229172778
AGOC-3A	12	10	1.226226717
Methylosmolene	21	4	1.226195444
Appluimonia	27	0	1.225676133
AGOC-3A	26	23	1.224155111
Chlorodinine	28	15	1.223626922
Methylosmolene	4	10	1.218751711
Chlorodinine	1	6	1.216269644
AGOC-3A	17	14	1.213131544
Appluimonia	14	4	1.2130963
Chlorodinine	25	9	1.209527144
Methylosmolene	31	21	1.209329
Chlorodinine	13	7	1.2057813
Chlorodinine	4	5	1.204999384
AGOC-3A	12	4	1.203869444
AGOC-3A	14	16	1.203273333
AGOC-3A	5	14	1.202376211
Chlorodinine	3	10	1.202083444
Appluimonia	17	9	1.195818811
Appluimonia	17	18	1.191700222
Appluimonia	17	10	1.189501889
AGOC-3A	14	7	1.189170889
Appluimonia	9	7	1.187030178
Chlorodinine	10	6	1.186128456
Appluimonia	23	19	1.185298856
AGOC-3A	9	1	1.183230311
Chlorodinine	8	10	1.181619311
AGOC-3A	21	14	1.17699101
Chlorodinine	7	21	1.176576044
Chlorodinine	13	16	1.173417444
Appluimonia	11	13	1.173335778
AGOC-3A	11	12	1.17276445
Chlorodinine	24	12	1.171178244
Appluimonia	9	19	1.169770478
Chlorodinine	19	22	1.169461778
Chlorodinine	22	6	1.167652111
Methylosmolene	12	6	1.162520944
Appluimonia	18	10	1.157241322
Chlorodinine	8	15	1.154647567
Methylosmolene	22	18	1.152000144
Appluimonia	18	5	1.146619044
AGOC-3A	2	6	1.14226847
Appluimonia	4	11	1.141483556
Chlorodinine	20	14	1.136623
AGOC-3A	20	1	1.135564556
AGOC-3A	8	23	1.133398222
Methylosmolene	12	22	1.130503
Appluimonia	29	11	1.128536111
Chlorodinine	31	13	1.127849111
Chlorodinine	9	23	1.126618411
Appluimonia	26	10	1.125897622
Appluimonia	9	22	1.125242974
Chlorodinine	24	2	1.124153989
Methylosmolene	10	11	1.121283356
Appluimonia	16	1	1.120772889
Appluimonia	8	1	1.118441
Chlorodinine	24	3	1.115818333
Appluimonia	29	12	1.115625756
Chlorodinine	11	9	1.112032722
Methylosmolene	6	9	1.111869222
Methylosmolene	31	8	1.110786356
Appluimonia	29	6	1.106239889
Appluimonia	22	20	1.105479444
Chlorodinine	10	21	1.103558889
Methylosmolene	12	0	1.102628667
Methylosmolene	22	5	1.102568178
Methylosmolene	19	2	1.102112111
AGOC-3A	5	11	1.099180578
Methylosmolene	4	18	1.098741811
AGOC-3A	12	0	1.098367478
Chlorodinine	27	8	1.098030822
AGOC-3A	1	9	1.097722522
Chlorodinine	12	22	1.096549444
Chlorodinine	9	2	1.094314333
Chlorodinine	27	10	1.093688689
Chlorodinine	20	0	1.093579444
Chlorodinine	19	20	1.091337622
Chlorodinine	21	6	1.090773778
Chlorodinine	17	1	1.089247733
AGOC-3A	13	3	1.088078441
Chlorodinine	19	10	1.087943556
Chlorodinine	18	9	1.086172333
Appluimonia	5	4	1.086069444
Appluimonia	14	21	1.084921111
AGOC-3A	13	17	1.084746556
AGOC-3A	6	2	1.084082653
AGOC-3A	21	10	1.082876556
Chlorodinine	18	6	1.082207767
Methylosmolene	13	4	1.078349133
Methylosmolene	24	17	1.077338556
Methylosmolene	9	7	1.077144837
Chlorodinine	12	2	1.075633689
AGOC-3A	24	21	1.074460223
Methylosmolene	13	6	1.073147444
Chlorodinine	23	3	1.072817367
AGOC-3A	9	0	1.072020833
AGOC-3A	31	0	1.068100844
Methylosmolene	16	20	1.065104
Chlorodinine	16	12	1.064434111
AGOC-3A	5	10	1.063669333
Chlorodinine	21	7	1.063662622
Chlorodinine	31	12	1.063659846
Chlorodinine	23	7	1.063634111
Methylosmolene	9	4	1.0636319
Appluimonia	24	12	1.061532989
AGOC-3A	24	18	1.060824367
Appluimonia	13	0	1.060253589
AGOC-3A	27	0	1.059415111
Appluimonia	18	0	1.056719778
Chlorodinine	16	5	1.056547
Chlorodinine	26	23	1.055896333
Chlorodinine	17	19	1.055484222
Chlorodinine	31	5	1.054923478
Methylosmolene	9	1	1.054190289
AGOC-3A	31	6	1.052094022
Methylosmolene	22	9	1.050010556
Chlorodinine	18	7	1.048711289
Chlorodinine	14	7	1.0483774
AGOC-3A	6	4	1.047915411
Methylosmolene	3	22	1.045969444
Appluimonia	12	4	1.044146889
Appluimonia	12	1	1.041479633
AGOC-3A	19	18	1.040434333
Appluimonia	18	1	1.040135778
AGOC-3A	27	9	1.038942
Appluimonia	21	16	1.037453333
AGOC-3A	14	9	1.03500914
AGOC-3A	18	11	1.033683556
AGOC-3A	8	5	1.033421478
Methylosmolene	26	11	1.0308628
AGOC-3A	21	0	1.030363089
Appluimonia	28	7	1.030235044
Methylosmolene	30	7	1.029854
AGOC-3A	28	15	1.029296311
Appluimonia	5	21	1.028830222
Chlorodinine	28	4	1.028793222
Appluimonia	15	5	1.028700378
Appluimonia	15	16	1.028531
AGOC-3A	11	6	1.02684516
Appluimonia	26	16	1.0263691
Chlorodinine	21	4	1.026112292
Chlorodinine	17	20	1.025731844
AGOC-3A	19	23	1.0242655
Chlorodinine	15	12	1.023914389
Chlorodinine	12	9	1.023903222
AGOC-3A	2	8	1.023836944
Methylosmolene	11	12	1.023672125
