Chemical	Monitor	Reading	Year	Month	Day	Hour	Minutes	Seconds
Chlorodinine	3	2.00093	2016	8	1	0	0	0
AGOC-3A	3	1.4882	2016	8	1	0	0	0
Appluimonia	4	1.3917	2016	8	1	0	0	0
Methylosmolene	3	1.31405	2016	8	1	0	0	0
Chlorodinine	4	1.11785	2016	8	1	0	0	0
Methylosmolene	7	1.04563	2016	8	1	0	0	0
AGOC-3A	7	0.988126	2016	8	1	0	0	0
Appluimonia	2	0.925689	2016	8	1	0	0	0
Methylosmolene	6	0.804563	2016	8	1	0	0	0
AGOC-3A	4	0.787887	2016	8	1	0	0	0
Methylosmolene	4	0.716778	2016	8	1	0	0	0
Chlorodinine	5	0.697949	2016	8	1	0	0	0
Methylosmolene	8	0.661941	2016	8	1	0	0	0
Appluimonia	8	0.612014	2016	8	1	0	0	0
Methylosmolene	5	0.562855	2016	8	1	0	0	0
Methylosmolene	1	0.562448	2016	8	1	0	0	0
Chlorodinine	2	0.540167	2016	8	1	0	0	0
Appluimonia	6	0.529789	2016	8	1	0	0	0
Appluimonia	1	0.471277	2016	8	1	0	0	0
Methylosmolene	2	0.446644	2016	8	1	0	0	0
AGOC-3A	8	0.401465	2016	8	1	0	0	0
Chlorodinine	7	0.400583	2016	8	1	0	0	0
AGOC-3A	1	0.392586	2016	8	1	0	0	0
Chlorodinine	1	0.360271	2016	8	1	0	0	0
Methylosmolene	9	0.268976	2016	8	1	0	0	0
AGOC-3A	9	0.245296	2016	8	1	0	0	0
Appluimonia	3	0.184515	2016	8	1	0	0	0
AGOC-3A	2	0.173527	2016	8	1	0	0	0
AGOC-3A	6	0.164421	2016	8	1	0	0	0
Appluimonia	5	0.122243	2016	8	1	0	0	0
Chlorodinine	6	0.0849426	2016	8	1	0	0	0
Appluimonia	9	0.069777	2016	8	1	0	0	0
Chlorodinine	9	0.0625447	2016	8	1	0	0	0
Appluimonia	7	0.0618826	2016	8	1	0	0	0
Chlorodinine	8	0.0528841	2016	8	1	0	0	0
AGOC-3A	5	0.0167582	2016	8	1	0	0	0
AGOC-3A	2	1.19688	2016	8	1	1	0	0
AGOC-3A	4	1.1503	2016	8	1	1	0	0
AGOC-3A	7	0.975321	2016	8	1	1	0	0
Chlorodinine	5	0.922741	2016	8	1	1	0	0
Chlorodinine	4	0.896695	2016	8	1	1	0	0
Appluimonia	4	0.846123	2016	8	1	1	0	0
Methylosmolene	4	0.845092	2016	8	1	1	0	0
Methylosmolene	7	0.820885	2016	8	1	1	0	0
Chlorodinine	3	0.773981	2016	8	1	1	0	0
Methylosmolene	5	0.740962	2016	8	1	1	0	0
AGOC-3A	5	0.673978	2016	8	1	1	0	0
AGOC-3A	3	0.611617	2016	8	1	1	0	0
Appluimonia	6	0.606556	2016	8	1	1	0	0
AGOC-3A	6	0.540243	2016	8	1	1	0	0
Appluimonia	1	0.52911	2016	8	1	1	0	0
AGOC-3A	8	0.50903	2016	8	1	1	0	0
Chlorodinine	8	0.501364	2016	8	1	1	0	0
Appluimonia	8	0.421506	2016	8	1	1	0	0
Methylosmolene	6	0.414202	2016	8	1	1	0	0
Chlorodinine	2	0.404445	2016	8	1	1	0	0
Appluimonia	3	0.344023	2016	8	1	1	0	0
Methylosmolene	3	0.321169	2016	8	1	1	0	0
Methylosmolene	8	0.320425	2016	8	1	1	0	0
Methylosmolene	2	0.317534	2016	8	1	1	0	0
Appluimonia	5	0.283623	2016	8	1	1	0	0
Chlorodinine	6	0.273255	2016	8	1	1	0	0
AGOC-3A	9	0.269642	2016	8	1	1	0	0
Chlorodinine	9	0.243995	2016	8	1	1	0	0
Methylosmolene	1	0.239071	2016	8	1	1	0	0
Appluimonia	7	0.190035	2016	8	1	1	0	0
Appluimonia	2	0.147787	2016	8	1	1	0	0
Appluimonia	9	0.137436	2016	8	1	1	0	0
AGOC-3A	1	0.117688	2016	8	1	1	0	0
Chlorodinine	7	0.0735836	2016	8	1	1	0	0
Chlorodinine	1	0.0169023	2016	8	1	1	0	0
Methylosmolene	9	0.00212156	2016	8	1	1	0	0
Appluimonia	7	1.91876	2016	8	1	2	0	0
Appluimonia	4	1.70455	2016	8	1	2	0	0
AGOC-3A	3	1.31524	2016	8	1	2	0	0
Appluimonia	3	1.30674	2016	8	1	2	0	0
AGOC-3A	7	0.990578	2016	8	1	2	0	0
Chlorodinine	2	0.967955	2016	8	1	2	0	0
Methylosmolene	4	0.896398	2016	8	1	2	0	0
Chlorodinine	3	0.88914	2016	8	1	2	0	0
Chlorodinine	4	0.874636	2016	8	1	2	0	0
Appluimonia	5	0.867782	2016	8	1	2	0	0
AGOC-3A	4	0.824021	2016	8	1	2	0	0
AGOC-3A	2	0.686121	2016	8	1	2	0	0
Appluimonia	9	0.671853	2016	8	1	2	0	0
Methylosmolene	2	0.648468	2016	8	1	2	0	0
Chlorodinine	6	0.64708	2016	8	1	2	0	0
AGOC-3A	8	0.645239	2016	8	1	2	0	0
Appluimonia	6	0.574496	2016	8	1	2	0	0
Methylosmolene	8	0.554638	2016	8	1	2	0	0
Methylosmolene	1	0.511264	2016	8	1	2	0	0
Chlorodinine	9	0.503489	2016	8	1	2	0	0
AGOC-3A	9	0.416486	2016	8	1	2	0	0
Chlorodinine	5	0.380158	2016	8	1	2	0	0
Methylosmolene	7	0.305445	2016	8	1	2	0	0
Methylosmolene	3	0.302061	2016	8	1	2	0	0
AGOC-3A	1	0.283824	2016	8	1	2	0	0
Chlorodinine	1	0.274605	2016	8	1	2	0	0
Appluimonia	1	0.250003	2016	8	1	2	0	0
Chlorodinine	8	0.18795	2016	8	1	2	0	0
AGOC-3A	5	0.173376	2016	8	1	2	0	0
Methylosmolene	9	0.14761	2016	8	1	2	0	0
Chlorodinine	7	0.118551	2016	8	1	2	0	0
Methylosmolene	6	0.116151	2016	8	1	2	0	0
Appluimonia	2	0.114141	2016	8	1	2	0	0
AGOC-3A	6	0.0418362	2016	8	1	2	0	0
Methylosmolene	5	0.0321455	2016	8	1	2	0	0
Appluimonia	8	0.001752	2016	8	1	2	0	0
Appluimonia	3	2.11103	2016	8	1	3	0	0
Chlorodinine	7	1.45664	2016	8	1	3	0	0
AGOC-3A	3	1.10893	2016	8	1	3	0	0
Appluimonia	4	1.09898	2016	8	1	3	0	0
Methylosmolene	4	1.05344	2016	8	1	3	0	0
Chlorodinine	4	1.04043	2016	8	1	3	0	0
Methylosmolene	5	0.990699	2016	8	1	3	0	0
AGOC-3A	4	0.959869	2016	8	1	3	0	0
Chlorodinine	3	0.932099	2016	8	1	3	0	0
Appluimonia	8	0.890765	2016	8	1	3	0	0
Chlorodinine	2	0.863249	2016	8	1	3	0	0
Appluimonia	2	0.82459	2016	8	1	3	0	0
Chlorodinine	8	0.771014	2016	8	1	3	0	0
AGOC-3A	7	0.724283	2016	8	1	3	0	0
AGOC-3A	2	0.661546	2016	8	1	3	0	0
AGOC-3A	5	0.657938	2016	8	1	3	0	0
Methylosmolene	3	0.618465	2016	8	1	3	0	0
AGOC-3A	8	0.548293	2016	8	1	3	0	0
Chlorodinine	5	0.46426	2016	8	1	3	0	0
Appluimonia	7	0.461802	2016	8	1	3	0	0
Methylosmolene	9	0.361392	2016	8	1	3	0	0
Methylosmolene	8	0.355955	2016	8	1	3	0	0
Appluimonia	1	0.345516	2016	8	1	3	0	0
Appluimonia	5	0.3381	2016	8	1	3	0	0
Appluimonia	6	0.336278	2016	8	1	3	0	0
AGOC-3A	9	0.317254	2016	8	1	3	0	0
Methylosmolene	6	0.232776	2016	8	1	3	0	0
AGOC-3A	6	0.227377	2016	8	1	3	0	0
Methylosmolene	7	0.206486	2016	8	1	3	0	0
Chlorodinine	9	0.174557	2016	8	1	3	0	0
Chlorodinine	1	0.122005	2016	8	1	3	0	0
Chlorodinine	6	0.121009	2016	8	1	3	0	0
Appluimonia	9	0.119207	2016	8	1	3	0	0
Methylosmolene	2	0.113953	2016	8	1	3	0	0
Methylosmolene	1	0.0953463	2016	8	1	3	0	0
AGOC-3A	1	0.0631993	2016	8	1	3	0	0
Chlorodinine	4	5.22735	2016	8	1	4	0	0
AGOC-3A	3	3.51008	2016	8	1	4	0	0
Appluimonia	3	2.45303	2016	8	1	4	0	0
Methylosmolene	3	1.80591	2016	8	1	4	0	0
Appluimonia	4	1.09246	2016	8	1	4	0	0
Methylosmolene	4	1.03537	2016	8	1	4	0	0
AGOC-3A	4	1.03442	2016	8	1	4	0	0
Appluimonia	9	0.85827	2016	8	1	4	0	0
Appluimonia	8	0.76722	2016	8	1	4	0	0
Methylosmolene	8	0.692548	2016	8	1	4	0	0
Methylosmolene	7	0.531896	2016	8	1	4	0	0
Appluimonia	6	0.51769	2016	8	1	4	0	0
Chlorodinine	2	0.507507	2016	8	1	4	0	0
AGOC-3A	6	0.482206	2016	8	1	4	0	0
Methylosmolene	5	0.445048	2016	8	1	4	0	0
Methylosmolene	2	0.440566	2016	8	1	4	0	0
AGOC-3A	5	0.429582	2016	8	1	4	0	0
Methylosmolene	6	0.401109	2016	8	1	4	0	0
Appluimonia	1	0.38354	2016	8	1	4	0	0
Methylosmolene	9	0.355549	2016	8	1	4	0	0
AGOC-3A	8	0.337089	2016	8	1	4	0	0
Appluimonia	2	0.29805	2016	8	1	4	0	0
Appluimonia	7	0.283491	2016	8	1	4	0	0
AGOC-3A	7	0.246133	2016	8	1	4	0	0
Chlorodinine	9	0.242914	2016	8	1	4	0	0
Methylosmolene	1	0.235738	2016	8	1	4	0	0
AGOC-3A	1	0.198065	2016	8	1	4	0	0
AGOC-3A	2	0.179535	2016	8	1	4	0	0
Chlorodinine	8	0.172111	2016	8	1	4	0	0
Chlorodinine	1	0.153808	2016	8	1	4	0	0
Chlorodinine	3	0.153329	2016	8	1	4	0	0
Chlorodinine	7	0.142095	2016	8	1	4	0	0
Chlorodinine	5	0.135123	2016	8	1	4	0	0
Chlorodinine	6	0.0816614	2016	8	1	4	0	0
Appluimonia	5	0.0707476	2016	8	1	4	0	0
AGOC-3A	9	0.0565084	2016	8	1	4	0	0
AGOC-3A	5	4.8965	2016	8	1	5	0	0
Methylosmolene	3	2.62522	2016	8	1	5	0	0
Chlorodinine	4	1.12791	2016	8	1	5	0	0
Appluimonia	4	1.01282	2016	8	1	5	0	0
Methylosmolene	4	1.01249	2016	8	1	5	0	0
Methylosmolene	8	0.996448	2016	8	1	5	0	0
Chlorodinine	3	0.8092	2016	8	1	5	0	0
AGOC-3A	4	0.772114	2016	8	1	5	0	0
Chlorodinine	8	0.76764	2016	8	1	5	0	0
Methylosmolene	6	0.72125	2016	8	1	5	0	0
Chlorodinine	7	0.667951	2016	8	1	5	0	0
AGOC-3A	1	0.583016	2016	8	1	5	0	0
Appluimonia	6	0.489098	2016	8	1	5	0	0
Appluimonia	5	0.462367	2016	8	1	5	0	0
Appluimonia	7	0.443931	2016	8	1	5	0	0
Chlorodinine	6	0.401125	2016	8	1	5	0	0
Appluimonia	3	0.336193	2016	8	1	5	0	0
Appluimonia	8	0.328803	2016	8	1	5	0	0
Methylosmolene	5	0.326378	2016	8	1	5	0	0
AGOC-3A	2	0.319997	2016	8	1	5	0	0
Chlorodinine	2	0.315396	2016	8	1	5	0	0
Appluimonia	2	0.30089	2016	8	1	5	0	0
Methylosmolene	7	0.289567	2016	8	1	5	0	0
AGOC-3A	6	0.286289	2016	8	1	5	0	0
AGOC-3A	8	0.252828	2016	8	1	5	0	0
