key	value	date
Methylosmolene	2.68382	4/1/16 0:0:0
Methylosmolene	2.63064	4/1/16 0:0:0
Chlorodinine	1.25917	4/1/16 0:0:0
Chlorodinine	0.943983	4/1/16 0:0:0
AGOC-3A	0.722303	4/1/16 0:0:0
Appluimonia	0.518521	4/1/16 0:0:0
Appluimonia	0.502186	4/1/16 0:0:0
AGOC-3A	0.497282	4/1/16 0:0:0
Appluimonia	0.458144	4/1/16 0:0:0
Methylosmolene	0.456104	4/1/16 0:0:0
AGOC-3A	0.438723	4/1/16 0:0:0
Methylosmolene	0.417423	4/1/16 0:0:0
Appluimonia	0.38494	4/1/16 0:0:0
Chlorodinine	0.382308	4/1/16 0:0:0
Appluimonia	0.378015	4/1/16 0:0:0
Appluimonia	0.272886	4/1/16 0:0:0
AGOC-3A	0.242289	4/1/16 0:0:0
Chlorodinine	0.239455	4/1/16 0:0:0
Chlorodinine	0.239101	4/1/16 0:0:0
AGOC-3A	0.228558	4/1/16 0:0:0
Chlorodinine	0.225446	4/1/16 0:0:0
Chlorodinine	0.197804	4/1/16 0:0:0
Methylosmolene	0.196198	4/1/16 0:0:0
AGOC-3A	0.160462	4/1/16 0:0:0
Methylosmolene	0.156771	4/1/16 0:0:0
AGOC-3A	0.15486	4/1/16 0:0:0
Methylosmolene	0.144993	4/1/16 0:0:0
Appluimonia	0.130435	4/1/16 0:0:0
Methylosmolene	0.110788	4/1/16 0:0:0
AGOC-3A	0.105787	4/1/16 0:0:0
AGOC-3A	0.0814906	4/1/16 0:0:0
Appluimonia	0.0296967	4/1/16 0:0:0
Methylosmolene	0.0226431	4/1/16 0:0:0
Chlorodinine	0.0115732	4/1/16 0:0:0
Chlorodinine	0.00473954	4/1/16 0:0:0
Appluimonia	0.0030929	4/1/16 0:0:0
Appluimonia	3.48407	4/1/16 1:0:0
AGOC-3A	2.55736	4/1/16 1:0:0
Methylosmolene	2.26404	4/1/16 1:0:0
Chlorodinine	1.26748	4/1/16 1:0:0
Methylosmolene	0.779529	4/1/16 1:0:0
Chlorodinine	0.708372	4/1/16 1:0:0
Appluimonia	0.63253	4/1/16 1:0:0
Appluimonia	0.565845	4/1/16 1:0:0
AGOC-3A	0.535	4/1/16 1:0:0
Appluimonia	0.452317	4/1/16 1:0:0
AGOC-3A	0.452257	4/1/16 1:0:0
