key	date	value
Chlorodinine	12/1/16 0:0:0	3.10251
AGOC-3A	12/1/16 0:0:0	2.17441
Methylosmolene	12/1/16 0:0:0	2.16032
Appluimonia	12/1/16 0:0:0	1.96719
Chlorodinine	12/1/16 0:0:0	1.93589
Appluimonia	12/1/16 0:0:0	1.42583
Appluimonia	12/1/16 0:0:0	1.41802
Methylosmolene	12/1/16 0:0:0	1.14461
Appluimonia	12/1/16 0:0:0	0.941871
Chlorodinine	12/1/16 0:0:0	0.851486
Methylosmolene	12/1/16 0:0:0	0.700118
Chlorodinine	12/1/16 0:0:0	0.656451
AGOC-3A	12/1/16 0:0:0	0.614978
Chlorodinine	12/1/16 0:0:0	0.609938
Methylosmolene	12/1/16 0:0:0	0.598351
Appluimonia	12/1/16 0:0:0	0.5752
AGOC-3A	12/1/16 0:0:0	0.544667
Methylosmolene	12/1/16 0:0:0	0.485155
Appluimonia	12/1/16 0:0:0	0.394688
AGOC-3A	12/1/16 0:0:0	0.379299
Methylosmolene	12/1/16 0:0:0	0.368839
Appluimonia	12/1/16 0:0:0	0.354782
AGOC-3A	12/1/16 0:0:0	0.349508
AGOC-3A	12/1/16 0:0:0	0.340047
AGOC-3A	12/1/16 0:0:0	0.301606
Chlorodinine	12/1/16 0:0:0	0.244596
Methylosmolene	12/1/16 0:0:0	0.21625
Chlorodinine	12/1/16 0:0:0	0.183959
Methylosmolene	12/1/16 0:0:0	0.147705
Chlorodinine	12/1/16 0:0:0	0.114174
Appluimonia	12/1/16 0:0:0	0.0918988
AGOC-3A	12/1/16 0:0:0	0.0869001
Methylosmolene	12/1/16 0:0:0	0.0763819
Appluimonia	12/1/16 0:0:0	0.0752314
AGOC-3A	12/1/16 0:0:0	0.0646769
Chlorodinine	12/1/16 0:0:0	0.0601018
Chlorodinine	12/1/16 1:0:0	2.76261
Methylosmolene	12/1/16 1:0:0	2.5311
Appluimonia	12/1/16 1:0:0	2.02347
AGOC-3A	12/1/16 1:0:0	2.00189
Chlorodinine	12/1/16 1:0:0	1.93249
Methylosmolene	12/1/16 1:0:0	1.73886
Methylosmolene	12/1/16 1:0:0	0.655655
AGOC-3A	12/1/16 1:0:0	0.625126
Chlorodinine	12/1/16 1:0:0	0.581475
Chlorodinine	12/1/16 1:0:0	0.570737
Chlorodinine	12/1/16 1:0:0	0.569277
Appluimonia	12/1/16 1:0:0	0.562347
Appluimonia	12/1/16 1:0:0	0.529223
Chlorodinine	12/1/16 1:0:0	0.505076
Chlorodinine	12/1/16 1:0:0	0.480408
AGOC-3A	12/1/16 1:0:0	0.476275
Methylosmolene	12/1/16 1:0:0	0.461901
Methylosmolene	12/1/16 1:0:0	0.374619
AGOC-3A	12/1/16 1:0:0	0.37048
Appluimonia	12/1/16 1:0:0	0.319978
Methylosmolene	12/1/16 1:0:0	0.287377
Chlorodinine	12/1/16 1:0:0	0.271889
Appluimonia	12/1/16 1:0:0	0.212379
AGOC-3A	12/1/16 1:0:0	0.207268
Appluimonia	12/1/16 1:0:0	0.200574
AGOC-3A	12/1/16 1:0:0	0.166938
Chlorodinine	12/1/16 1:0:0	0.155388
Methylosmolene	12/1/16 1:0:0	0.146368
Appluimonia	12/1/16 1:0:0	0.140176
AGOC-3A	12/1/16 1:0:0	0.126824
Methylosmolene	12/1/16 1:0:0	0.123949
Appluimonia	12/1/16 1:0:0	0.0813522
AGOC-3A	12/1/16 1:0:0	0.0785864
AGOC-3A	12/1/16 1:0:0	0.0780035
Methylosmolene	12/1/16 1:0:0	0.0586791
Appluimonia	12/1/16 1:0:0	0.0378871
AGOC-3A	12/1/16 2:0:0	2.62451
Methylosmolene	12/1/16 2:0:0	1.86306
AGOC-3A	12/1/16 2:0:0	1.85773
Chlorodinine	12/1/16 2:0:0	1.70381
Appluimonia	12/1/16 2:0:0	1.68002
AGOC-3A	12/1/16 2:0:0	1.44078
Methylosmolene	12/1/16 2:0:0	1.30292
AGOC-3A	12/1/16 2:0:0	1.22299
Chlorodinine	12/1/16 2:0:0	1.00933
Chlorodinine	12/1/16 2:0:0	0.82696
Chlorodinine	12/1/16 2:0:0	0.757335
Appluimonia	12/1/16 2:0:0	0.719841
Methylosmolene	12/1/16 2:0:0	0.684609
Chlorodinine	12/1/16 2:0:0	0.646051
AGOC-3A	12/1/16 2:0:0	0.568596
AGOC-3A	12/1/16 2:0:0	0.486588
Appluimonia	12/1/16 2:0:0	0.457838
Chlorodinine	12/1/16 2:0:0	0.418476
Methylosmolene	12/1/16 2:0:0	0.409685
Methylosmolene	12/1/16 2:0:0	0.375606
Methylosmolene	12/1/16 2:0:0	0.35197
Chlorodinine	12/1/16 2:0:0	0.346366
Appluimonia	12/1/16 2:0:0	0.306608
Methylosmolene	12/1/16 2:0:0	0.306467
Methylosmolene	12/1/16 2:0:0	0.302053
Chlorodinine	12/1/16 2:0:0	0.254816
Appluimonia	12/1/16 2:0:0	0.165314
Methylosmolene	12/1/16 2:0:0	0.146342
Appluimonia	12/1/16 2:0:0	0.1412
AGOC-3A	12/1/16 2:0:0	0.130829
AGOC-3A	12/1/16 2:0:0	0.129983
Appluimonia	12/1/16 2:0:0	0.121662
AGOC-3A	12/1/16 2:0:0	0.117207
Appluimonia	12/1/16 2:0:0	0.109415
Chlorodinine	12/1/16 2:0:0	0.072025
Appluimonia	12/1/16 2:0:0	0.0313172
Appluimonia	12/1/16 3:0:0	2.54688
Chlorodinine	12/1/16 3:0:0	2.07699
Methylosmolene	12/1/16 3:0:0	1.8715
Appluimonia	12/1/16 3:0:0	1.84596
AGOC-3A	12/1/16 3:0:0	1.84209
Chlorodinine	12/1/16 3:0:0	1.78845
Chlorodinine	12/1/16 3:0:0	1.3777
Appluimonia	12/1/16 3:0:0	1.15862
Chlorodinine	12/1/16 3:0:0	1.0655
Methylosmolene	12/1/16 3:0:0	0.822351
AGOC-3A	12/1/16 3:0:0	0.767932
Methylosmolene	12/1/16 3:0:0	0.758454
Appluimonia	12/1/16 3:0:0	0.657467
AGOC-3A	12/1/16 3:0:0	0.612507
Appluimonia	12/1/16 3:0:0	0.609272
Methylosmolene	12/1/16 3:0:0	0.5486
Chlorodinine	12/1/16 3:0:0	0.518856
Chlorodinine	12/1/16 3:0:0	0.51275
Appluimonia	12/1/16 3:0:0	0.50733
Chlorodinine	12/1/16 3:0:0	0.499804
AGOC-3A	12/1/16 3:0:0	0.47679
AGOC-3A	12/1/16 3:0:0	0.379068
Chlorodinine	12/1/16 3:0:0	0.370876
Methylosmolene	12/1/16 3:0:0	0.35101
AGOC-3A	12/1/16 3:0:0	0.341524
Appluimonia	12/1/16 3:0:0	0.333996
AGOC-3A	12/1/16 3:0:0	0.326247
AGOC-3A	12/1/16 3:0:0	0.32386
Appluimonia	12/1/16 3:0:0	0.298542
Methylosmolene	12/1/16 3:0:0	0.247375
AGOC-3A	12/1/16 3:0:0	0.235581
Appluimonia	12/1/16 3:0:0	0.201859
