key	value	date
Chlorodinine	2.00093	8/1/16 0:0:0
AGOC-3A	1.4882	8/1/16 0:0:0
Appluimonia	1.3917	8/1/16 0:0:0
Methylosmolene	1.31405	8/1/16 0:0:0
Chlorodinine	1.11785	8/1/16 0:0:0
Methylosmolene	1.04563	8/1/16 0:0:0
AGOC-3A	0.988126	8/1/16 0:0:0
Appluimonia	0.925689	8/1/16 0:0:0
Methylosmolene	0.804563	8/1/16 0:0:0
AGOC-3A	0.787887	8/1/16 0:0:0
Methylosmolene	0.716778	8/1/16 0:0:0
Chlorodinine	0.697949	8/1/16 0:0:0
Methylosmolene	0.661941	8/1/16 0:0:0
Appluimonia	0.612014	8/1/16 0:0:0
Methylosmolene	0.562855	8/1/16 0:0:0
Methylosmolene	0.562448	8/1/16 0:0:0
Chlorodinine	0.540167	8/1/16 0:0:0
Appluimonia	0.529789	8/1/16 0:0:0
Appluimonia	0.471277	8/1/16 0:0:0
Methylosmolene	0.446644	8/1/16 0:0:0
AGOC-3A	0.401465	8/1/16 0:0:0
Chlorodinine	0.400583	8/1/16 0:0:0
AGOC-3A	0.392586	8/1/16 0:0:0
Chlorodinine	0.360271	8/1/16 0:0:0
Methylosmolene	0.268976	8/1/16 0:0:0
AGOC-3A	0.245296	8/1/16 0:0:0
Appluimonia	0.184515	8/1/16 0:0:0
AGOC-3A	0.173527	8/1/16 0:0:0
AGOC-3A	0.164421	8/1/16 0:0:0
Appluimonia	0.122243	8/1/16 0:0:0
Chlorodinine	0.0849426	8/1/16 0:0:0
Appluimonia	0.069777	8/1/16 0:0:0
Chlorodinine	0.0625447	8/1/16 0:0:0
Appluimonia	0.0618826	8/1/16 0:0:0
Chlorodinine	0.0528841	8/1/16 0:0:0
AGOC-3A	0.0167582	8/1/16 0:0:0
AGOC-3A	1.19688	8/1/16 1:0:0
AGOC-3A	1.1503	8/1/16 1:0:0
AGOC-3A	0.975321	8/1/16 1:0:0
Chlorodinine	0.922741	8/1/16 1:0:0
Chlorodinine	0.896695	8/1/16 1:0:0
Appluimonia	0.846123	8/1/16 1:0:0
Methylosmolene	0.845092	8/1/16 1:0:0
Methylosmolene	0.820885	8/1/16 1:0:0
Chlorodinine	0.773981	8/1/16 1:0:0
Methylosmolene	0.740962	8/1/16 1:0:0
AGOC-3A	0.673978	8/1/16 1:0:0
AGOC-3A	0.611617	8/1/16 1:0:0
Appluimonia	0.606556	8/1/16 1:0:0
AGOC-3A	0.540243	8/1/16 1:0:0
Appluimonia	0.52911	8/1/16 1:0:0
AGOC-3A	0.50903	8/1/16 1:0:0
Chlorodinine	0.501364	8/1/16 1:0:0
Appluimonia	0.421506	8/1/16 1:0:0
Methylosmolene	0.414202	8/1/16 1:0:0
Chlorodinine	0.404445	8/1/16 1:0:0
Appluimonia	0.344023	8/1/16 1:0:0
Methylosmolene	0.321169	8/1/16 1:0:0
Methylosmolene	0.320425	8/1/16 1:0:0
Methylosmolene	0.317534	8/1/16 1:0:0
Appluimonia	0.283623	8/1/16 1:0:0
Chlorodinine	0.273255	8/1/16 1:0:0
AGOC-3A	0.269642	8/1/16 1:0:0
Chlorodinine	0.243995	8/1/16 1:0:0
Methylosmolene	0.239071	8/1/16 1:0:0
Appluimonia	0.190035	8/1/16 1:0:0
Appluimonia	0.147787	8/1/16 1:0:0
Appluimonia	0.137436	8/1/16 1:0:0
AGOC-3A	0.117688	8/1/16 1:0:0
Chlorodinine	0.0735836	8/1/16 1:0:0
Chlorodinine	0.0169023	8/1/16 1:0:0
Methylosmolene	0.00212156	8/1/16 1:0:0
Appluimonia	1.91876	8/1/16 2:0:0
Appluimonia	1.70455	8/1/16 2:0:0
AGOC-3A	1.31524	8/1/16 2:0:0
Appluimonia	1.30674	8/1/16 2:0:0
AGOC-3A	0.990578	8/1/16 2:0:0
Chlorodinine	0.967955	8/1/16 2:0:0
Methylosmolene	0.896398	8/1/16 2:0:0
Chlorodinine	0.88914	8/1/16 2:0:0
Chlorodinine	0.874636	8/1/16 2:0:0
Appluimonia	0.867782	8/1/16 2:0:0
AGOC-3A	0.824021	8/1/16 2:0:0
AGOC-3A	0.686121	8/1/16 2:0:0
Appluimonia	0.671853	8/1/16 2:0:0
Methylosmolene	0.648468	8/1/16 2:0:0
Chlorodinine	0.64708	8/1/16 2:0:0
AGOC-3A	0.645239	8/1/16 2:0:0
Appluimonia	0.574496	8/1/16 2:0:0
Methylosmolene	0.554638	8/1/16 2:0:0
Methylosmolene	0.511264	8/1/16 2:0:0
Chlorodinine	0.503489	8/1/16 2:0:0
AGOC-3A	0.416486	8/1/16 2:0:0
Chlorodinine	0.380158	8/1/16 2:0:0
Methylosmolene	0.305445	8/1/16 2:0:0
Methylosmolene	0.302061	8/1/16 2:0:0
AGOC-3A	0.283824	8/1/16 2:0:0
Chlorodinine	0.274605	8/1/16 2:0:0
Appluimonia	0.250003	8/1/16 2:0:0
Chlorodinine	0.18795	8/1/16 2:0:0
AGOC-3A	0.173376	8/1/16 2:0:0
Methylosmolene	0.14761	8/1/16 2:0:0
Chlorodinine	0.118551	8/1/16 2:0:0
Methylosmolene	0.116151	8/1/16 2:0:0
Appluimonia	0.114141	8/1/16 2:0:0
AGOC-3A	0.0418362	8/1/16 2:0:0
Methylosmolene	0.0321455	8/1/16 2:0:0
Appluimonia	0.001752	8/1/16 2:0:0
Appluimonia	2.11103	8/1/16 3:0:0
Chlorodinine	1.45664	8/1/16 3:0:0
AGOC-3A	1.10893	8/1/16 3:0:0
Appluimonia	1.09898	8/1/16 3:0:0
Methylosmolene	1.05344	8/1/16 3:0:0
Chlorodinine	1.04043	8/1/16 3:0:0
Methylosmolene	0.990699	8/1/16 3:0:0
AGOC-3A	0.959869	8/1/16 3:0:0
Chlorodinine	0.932099	8/1/16 3:0:0
Appluimonia	0.890765	8/1/16 3:0:0
Chlorodinine	0.863249	8/1/16 3:0:0
Appluimonia	0.82459	8/1/16 3:0:0
Chlorodinine	0.771014	8/1/16 3:0:0
AGOC-3A	0.724283	8/1/16 3:0:0
AGOC-3A	0.661546	8/1/16 3:0:0
AGOC-3A	0.657938	8/1/16 3:0:0
Methylosmolene	0.618465	8/1/16 3:0:0
AGOC-3A	0.548293	8/1/16 3:0:0
Chlorodinine	0.46426	8/1/16 3:0:0
Appluimonia	0.461802	8/1/16 3:0:0
Methylosmolene	0.361392	8/1/16 3:0:0
Methylosmolene	0.355955	8/1/16 3:0:0
Appluimonia	0.345516	8/1/16 3:0:0
Appluimonia	0.3381	8/1/16 3:0:0
Appluimonia	0.336278	8/1/16 3:0:0
AGOC-3A	0.317254	8/1/16 3:0:0
Methylosmolene	0.232776	8/1/16 3:0:0
AGOC-3A	0.227377	8/1/16 3:0:0
Methylosmolene	0.206486	8/1/16 3:0:0
Chlorodinine	0.174557	8/1/16 3:0:0
Chlorodinine	0.122005	8/1/16 3:0:0
Chlorodinine	0.121009	8/1/16 3:0:0
Appluimonia	0.119207	8/1/16 3:0:0
Methylosmolene	0.113953	8/1/16 3:0:0
Methylosmolene	0.0953463	8/1/16 3:0:0
AGOC-3A	0.0631993	8/1/16 3:0:0
Chlorodinine	5.22735	8/1/16 4:0:0
AGOC-3A	3.51008	8/1/16 4:0:0
Appluimonia	2.45303	8/1/16 4:0:0
Methylosmolene	1.80591	8/1/16 4:0:0
Appluimonia	1.09246	8/1/16 4:0:0
Methylosmolene	1.03537	8/1/16 4:0:0
AGOC-3A	1.03442	8/1/16 4:0:0
Appluimonia	0.85827	8/1/16 4:0:0
Appluimonia	0.76722	8/1/16 4:0:0
Methylosmolene	0.692548	8/1/16 4:0:0
Methylosmolene	0.531896	8/1/16 4:0:0
Appluimonia	0.51769	8/1/16 4:0:0
Chlorodinine	0.507507	8/1/16 4:0:0
AGOC-3A	0.482206	8/1/16 4:0:0
Methylosmolene	0.445048	8/1/16 4:0:0
Methylosmolene	0.440566	8/1/16 4:0:0
AGOC-3A	0.429582	8/1/16 4:0:0
Methylosmolene	0.401109	8/1/16 4:0:0
Appluimonia	0.38354	8/1/16 4:0:0
Methylosmolene	0.355549	8/1/16 4:0:0
AGOC-3A	0.337089	8/1/16 4:0:0
Appluimonia	0.29805	8/1/16 4:0:0
Appluimonia	0.283491	8/1/16 4:0:0
AGOC-3A	0.246133	8/1/16 4:0:0
Chlorodinine	0.242914	8/1/16 4:0:0
Methylosmolene	0.235738	8/1/16 4:0:0
AGOC-3A	0.198065	8/1/16 4:0:0
AGOC-3A	0.179535	8/1/16 4:0:0
Chlorodinine	0.172111	8/1/16 4:0:0
Chlorodinine	0.153808	8/1/16 4:0:0
Chlorodinine	0.153329	8/1/16 4:0:0
Chlorodinine	0.142095	8/1/16 4:0:0
Chlorodinine	0.135123	8/1/16 4:0:0
Chlorodinine	0.0816614	8/1/16 4:0:0
Appluimonia	0.0707476	8/1/16 4:0:0
AGOC-3A	0.0565084	8/1/16 4:0:0
AGOC-3A	4.8965	8/1/16 5:0:0
Methylosmolene	2.62522	8/1/16 5:0:0
Chlorodinine	1.12791	8/1/16 5:0:0
Appluimonia	1.01282	8/1/16 5:0:0
Methylosmolene	1.01249	8/1/16 5:0:0
Methylosmolene	0.996448	8/1/16 5:0:0
Chlorodinine	0.8092	8/1/16 5:0:0
AGOC-3A	0.772114	8/1/16 5:0:0
Chlorodinine	0.76764	8/1/16 5:0:0
Methylosmolene	0.72125	8/1/16 5:0:0
Chlorodinine	0.667951	8/1/16 5:0:0
AGOC-3A	0.583016	8/1/16 5:0:0
Appluimonia	0.489098	8/1/16 5:0:0
Appluimonia	0.462367	8/1/16 5:0:0
Appluimonia	0.443931	8/1/16 5:0:0
Chlorodinine	0.401125	8/1/16 5:0:0
Appluimonia	0.336193	8/1/16 5:0:0
Appluimonia	0.328803	8/1/16 5:0:0
Methylosmolene	0.326378	8/1/16 5:0:0
AGOC-3A	0.319997	8/1/16 5:0:0
Chlorodinine	0.315396	8/1/16 5:0:0
Appluimonia	0.30089	8/1/16 5:0:0
Methylosmolene	0.289567	8/1/16 5:0:0
AGOC-3A	0.286289	8/1/16 5:0:0
AGOC-3A	0.252828	8/1/16 5:0:0
Appluimonia	0.251488	8/1/16 5:0:0
AGOC-3A	0.244661	8/1/16 5:0:0
Chlorodinine	0.239981	8/1/16 5:0:0
AGOC-3A	0.232619	8/1/16 5:0:0
AGOC-3A	0.156225	8/1/16 5:0:0
Chlorodinine	0.146453	8/1/16 5:0:0
Methylosmolene	0.106265	8/1/16 5:0:0
Methylosmolene	0.106026	8/1/16 5:0:0
Chlorodinine	0.0461433	8/1/16 5:0:0
Appluimonia	0.0186404	8/1/16 5:0:0
Methylosmolene	0.0071944	8/1/16 5:0:0
AGOC-3A	5.49876	8/1/16 6:0:0
Appluimonia	2.51583	8/1/16 6:0:0
Appluimonia	1.97736	8/1/16 6:0:0
Methylosmolene	1.14695	8/1/16 6:0:0
Chlorodinine	1.12297	8/1/16 6:0:0
AGOC-3A	1.12098	8/1/16 6:0:0
Appluimonia	1.11981	8/1/16 6:0:0
AGOC-3A	0.969597	8/1/16 6:0:0
Methylosmolene	0.957492	8/1/16 6:0:0
Chlorodinine	0.850721	8/1/16 6:0:0
AGOC-3A	0.796028	8/1/16 6:0:0
Chlorodinine	0.764024	8/1/16 6:0:0
Appluimonia	0.739112	8/1/16 6:0:0
Chlorodinine	0.692355	8/1/16 6:0:0
Methylosmolene	0.687341	8/1/16 6:0:0
AGOC-3A	0.672877	8/1/16 6:0:0
