wind-direction	wind-speed	Year	Month	Day	Hour	Minutes	Seconds
190.5	4	2016	4	1	0	0	0
203.3	5	2016	4	1	3	0	0
201.1	5.2	2016	4	1	6	0	0
204.9	4.1	2016	4	1	9	0	0
207	3.6	2016	4	1	12	0	0
207.1	3	2016	4	1	15	0	0
243.8	1.9	2016	4	1	18	0	0
262.1	2.9	2016	4	1	21	0	0
262.3	2.9	2016	4	2	0	0	0
271.8	2.8	2016	4	2	3	0	0
279.8	1.5	2016	4	2	6	0	0
272.3	1.3	2016	4	2	9	0	0
203.3	1.3	2016	4	2	12	0	0
188.6	2.1	2016	4	2	15	0	0
199.9	2.7	2016	4	2	18	0	0
225	2.6	2016	4	2	21	0	0
274.7	2.8	2016	4	3	0	0	0
298.9	2.2	2016	4	3	3	0	0
316.9	2.1	2016	4	3	6	0	0
328.3	3.7	2016	4	3	9	0	0
324.8	4.3	2016	4	3	12	0	0
313.1	4.6	2016	4	3	15	0	0
295.2	5.2	2016	4	3	18	0	0
296.4	5.6	2016	4	3	21	0	0
299.4	4.3	2016	4	4	0	0	0
302	4	2016	4	4	3	0	0
295.7	2	2016	4	4	6	0	0
292.1	1.4	2016	4	4	9	0	0
292.5	1.4	2016	4	4	12	0	0
325.8	0.8	2016	4	4	15	0	0
358.4	1.2	2016	4	4	18	0	0
344.1	1.8	2016	4	4	21	0	0
341.7	1.7	2016	4	5	0	0	0
351.6	1.8	2016	4	5	3	0	0
1.3	1.3	2016	4	5	6	0	0
353.9	1.2	2016	4	5	9	0	0
347.3	2.5	2016	4	5	12	0	0
318.4	3	2016	4	5	15	0	0
312.9	3.6	2016	4	5	18	0	0
309.1	3.2	2016	4	5	21	0	0
307.1	2.3	2016	4	6	0	0	0
289.4	1.5	2016	4	6	3	0	0
270.8	0.9	2016	4	6	6	0	0
245.1	0.8	2016	4	6	9	0	0
225.6	0.8	2016	4	6	12	0	0
206.9	2	2016	4	6	15	0	0
200.7	3.3	2016	4	6	18	0	0
193.2	3.8	2016	4	6	21	0	0
175.1	2.9	2016	4	7	0	0	0
182.5	3	2016	4	7	3	0	0
169.2	2.8	2016	4	7	6	0	0
168.8	2.3	2016	4	7	9	0	0
170.5	2.9	2016	4	7	12	0	0
172.1	3.7	2016	4	7	15	0	0
157.1	4.4	2016	4	7	18	0	0
141.1	5.2	2016	4	7	21	0	0
156.4	5.2	2016	4	8	0	0	0
196.5	2.5	2016	4	8	3	0	0
222.7	1.3	2016	4	8	6	0	0
201.2	0.7	2016	4	8	9	0	0
200.2	0.5	2016	4	8	12	0	0
249.7	1.2	2016	4	8	15	0	0
221.3	2.6	2016	4	8	18	0	0
245	2.8	2016	4	8	21	0	0
265.4	2.4	2016	4	9	0	0	0
279.8	2.3	2016	4	9	3	0	0
277.5	2.6	2016	4	9	6	0	0
289.4	2.5	2016	4	9	9	0	0
296.6	2.2	2016	4	9	12	0	0
294.9	2.6	2016	4	9	15	0	0
318.9	2.8	2016	4	9	18	0	0
315.9	2.9	2016	4	9	21	0	0
